municipios,longitude,latitude
RIBAS DO RIO PARDO ,"-53,761678","-20,443676"
CAMAPUA ,"-54,043309","-19,53526"
BRASILANDIA,"-52,036297","-21,247118"
NOVA ANDRADINA,"-53,351574","-22,248759"
SANTA RITA DO PARDO,"-52,828071","-21,305377"
ITAQUIRAI,"-54,188198","-23,490663"
LAGUNA CARAPA,"-55,150108","-22,550582"
TERENOS,"-54,865557","-20,442308"
COXIM,"-54,758056","-18,508411"
NAVIRAI,"-54,198836","-23,059999"
SONORA,"-54,754906","-17,581355"
RIO VERDE DE MATO GROSSO,"-54,842254","-18,916586"
PARAISO DAS AGUAS,"-53,01289439","-19,02351863"
CAMPO GRANDE,"-54,576735","-20,372939"
MIRANDA,"-56,390198","-20,239333"
CHAPADAO DO SUL,"-52,626356","-18,797773"
BANDEIRANTES,"-54,351758","-19,675825"
JARAGUARI,"-54,440684","-20,10374"
BONITO,"-56,492859","-21,124341"
PEDRO GOMES,"-54,552446","-18,101856"
SIDROLANDIA,"-54,96603","-20,931054"
SAO GABRIEL DO OESTE,"-54,564569","-19,395521"
IVINHEMA,"-53,82697","-22,301604"
AQUIDAUANA,"-55,790616","-20,474654"
MARACAJU,"-55,15714","-21,62361"
TRES LAGOAS,"-51,710001","-20,788679"
CORUMBA,"-57,648985","-19,006375"
ALCINOPOLIS,"-53,70809","-18,325034"
BATAGUASSU,"-52,425437","-21,715288"
IGUATEMI,"-54,558601","-23,661902"
ANASTACIO,"-55,804571","-20,48236"
FIGUEIRAO,"-53,642573","-18,675448"
SELVIRIA,"-51,418937","-20,366743"
ROCHEDO,"-54,892772","-19,96186"
AGUA CLARA,"-52,875118","-20,448851"
CAARAPO,"-54,82697","-22,636582"
NIOAQUE,"-55,83389","-21,158152"
TAQUARUSSU,"-53,351919","-22,489987"
PORTO MURTINHO,"-57,888482","-21,707325"
AMAMBAI,"-55,243828","-23,100582"
ANAURILANDIA,"-52,718169","-22,18265"
PARANAIBA,"-51,188708","-19,677372"
RIO NEGRO,"-54,987502","-19,447429"
CORGUINHO,"-45,841257","-20,256553"
ARAL MOREIRA,"-55,630761","-22,947881"
JATEI,"-54,308054","-22,481687"
DOIS IRMAOS DO BURITI,"-55,281914","-20,692312"
INOCENCIA,"-51,927679","-19,725458"
DEODAPOLIS,"-54,161183","-22,272949"
CASSILANDIA,"-51,731577","-19,109407"
NOVA ALVORADA DO SUL,"-54,382804","-21,466634"
RIO BRILHANTE,"-54,542242","-21,801195"
BODOQUENA,"-56,673567","-20,554843"
BATAYPORA,"-53,274807","-22,29588"
BELA VISTA,"-56,531315","-22,115976"
ANGELICA,"-53,76973","-22,156063"
ANTONIO JOAO,"-55,948082","-22,194685"
COSTA RICA,"-53,133047","-18,543548"
APARECIDA DO TABOADO,"-51,097638","-20,085022"
GUIA LOPES DA LAGUNA,"-56,108153","-21,452459"
TACURU,"-55,020321","-23,634742"
JUTI,"-54,601323","-22,862472"
PONTA PORA,"-55,570334","-22,189277"
SETE QUEDAS,"-55,053315","-23,983513"
ELDORADO,"-48,103228","-24,525387"
DOURADOS,"-54,811289","-22,227236"
PARANHOS,"-55,43303","-23,89687"
JARDIM,"-56,145845","-21,479603"
CARACOL,"-57,025939","-22,012738"
CORONEL SAPUCAIA,"-55,541328","-23,276445"
NOVO HORIZONTE DO SUL,"-53,860887","-22,654953"
MUNDO NOVO,"-50,285688","-13,765577"
ITAPORA,"-38,152573","-7,30398"
GLORIA DE DOURADOS,"-54,234629","-22,414425"
JAPORA,"-54,403485","-23,894067"
